date,tx_count,start_block,end_block
8/21/2025,1819977,23187826,23194979
8/22/2025,1967385,23194980,23202154
8/23/2025,1152599,23202155,23209313
8/24/2025,1718411,23209314,23216485
8/25/2025,2159302,23216486,23223654
8/26/2025,2303325,23223655,23230825
8/27/2025,2196074,23230826,23237983
8/28/2025,1937415,23237984,23245148
8/29/2025,1395865,23245149,23252321
8/30/2025,1504266,23252322,23259491
8/31/2025,1653729,23259492,23266650
9/1/2025,1801883,23266651,23273789
9/2/2025,1752768,23273790,23280949
9/3/2025,1882054,23280950,23288116
9/4/2025,1631275,23288117,23295277
9/5/2025,1757961,23295278,23302429
9/6/2025,1159110,23302430,23309584
9/7/2025,1421578,23309585,23316742
9/8/2025,1487848,23316743,23323902
9/9/2025,1694067,23323903,23331056
9/10/2025,2236595,23331057,23338188
9/11/2025,1361261,23338189,23345345
9/12/2025,2171904,23345346,23352513
9/13/2025,1973184,23352514,23359683
9/14/2025,2133978,23359684,23366844
9/15/2025,1858220,23366845,23373991
9/16/2025,1562715,23373992,23381166
9/17/2025,1905624,23381167,23388330
9/18/2025,2228814,23388331,23395492
9/19/2025,2405760,23395493,23402652
9/20/2025,1402099,23402653,23409791
9/21/2025,1406726,23409792,23416939
9/22/2025,2198630,23416940,23424096
9/23/2025,1657241,23424097,23431264
9/24/2025,1613942,23431265,23438418
9/25/2025,1549252,23438419,23445564
9/26/2025,1840152,23445565,23452713
9/27/2025,1485793,23452714,23459870
9/28/2025,1575419,23459871,23467018
9/29/2025,1987616,23467019,23474178
9/30/2025,1623277,23474179,23481329
10/1/2025,2268616,23481330,23488472
10/2/2025,2135822,23488473,23495620
10/3/2025,1758250,23495621,23502779
10/4/2025,1060371,23502780,23509934
10/5/2025,1453062,23509935,23517099
10/6/2025,2280364,23517100,23524243
10/7/2025,1527151,23524244,23531406
10/8/2025,1842378,23531407,23538547
10/9/2025,1920401,23538548,23545702
10/10/2025,1688593,23545703,23552851
10/11/2025,2296607,23552852,23560010
10/12/2025,1462686,23560011,23567166
10/13/2025,1615746,23567167,23574309
10/14/2025,2034605,23574310,23581458
10/15/2025,2127185,23581459,23588601
10/16/2025,1387947,23588602,23595748
10/17/2025,2209772,23595749,23602904
10/18/2025,1363266,23602905,23610049
10/19/2025,938458,23610050,23617191
10/20/2025,1921785,23617192,23624314
10/21/2025,1572436,23624315,23631442
10/22/2025,1794411,23631443,23638574
10/23/2025,2124078,23638575,23645697
10/24/2025,1630489,23645698,23652842
10/25/2025,1284683,23652843,23660003
10/26/2025,1295580,23660004,23667153
10/27/2025,1713840,23667154,23674294
10/28/2025,1953346,23674295,23681423
10/29/2025,1312699,23681424,23688565
10/30/2025,2114624,23688566,23695709
10/31/2025,2283071,23695710,23702857
11/1/2025,1686441,23702858,23710009
11/2/2025,1517430,23710010,23717462
11/3/2025,2551460,23717463,23724625
11/4/2025,2118020,23724626,23731766
11/5/2025,1816004,23731767,23738910
11/6/2025,1195312,23738911,23746059
11/7/2025,1777241,23746060,23753208
11/8/2025,1658950,23753209,23760371
11/9/2025,1628705,23760372,23767527
11/10/2025,1820596,23767528,23774661
11/11/2025,1801125,23774662,23781814
11/12/2025,1336233,23781815,23788952
11/13/2025,1702652,23788953,23796094
11/14/2025,1545991,23796095,23803258
11/15/2025,1828306,23803259,23810411
11/16/2025,1224251,23810412,23817562
11/17/2025,1584553,23817563,23824674
11/18/2025,1702636,23824675,23831798
11/19/2025,1800280,23831799,23838925
11/20/2025,1702172,23838926,23846059
11/21/2025,1737149,23846060,23853161
11/22/2025,1491789,23853162,23860258
11/23/2025,1385034,23860259,23867390
11/24/2025,1529770,23867391,23874492
11/25/2025,1858256,23874493,23881590
11/26/2025,1608302,23881591,23888719
11/27/2025,1302632,23888720,23895845
11/28/2025,1751218,23895846,23902987
11/29/2025,1515640,23902988,23910143
11/30/2025,1669245,23910144,23917301
12/1/2025,2143570,23917302,23924451
12/2/2025,1590659,23924452,23931584
12/3/2025,1715805,23931585,23938409
12/4/2025,1892265,23938410,23945433
12/5/2025,1594190,23945434,23952512
12/6/2025,1115161,23952513,23959624
12/7/2025,1518328,23959625,23966759
12/8/2025,1526817,23966760,23973887
12/9/2025,2084266,23973888,23980986
12/10/2025,1703343,23980987,23988107
12/11/2025,3109692,23988108,23995223
12/12/2025,1684342,23995224,24002354
12/13/2025,1536249,24002355,24009506
12/14/2025,1184429,24009507,24016667
12/15/2025,1754236,24016668,24023833
12/16/2025,1628342,24023834,24031000
12/17/2025,1628705,24031001,24038156
12/18/2025,1480257,24038157,24045307
12/19/2025,1442402,24045308,24052476
12/20/2025,1539901,24052477,24059645
12/21/2025,1368417,24059646,24066817
12/22/2025,1863812,24066818,24073980
12/23/2025,3125496,24073981,24081142
12/24/2025,2152065,24081143,24088306
12/25/2025,2117382,24088307,24095469
12/26/2025,1585002,24095470,24102628
12/27/2025,2271305,24102629,24109793
12/28/2025,1768615,24109794,24116965
12/29/2025,2410224,24116966,24124117
12/30/2025,1969881,24124118,24131275
12/31/2025,2231492,24131276,24138441
